,IMUx,IMUy,IMUvx,IMUvy,dt
112,0.0,0.0,0.0,0.0,7.772445678710938e-05
113,0.0,0.0,0.0,0.0,6.437301635742188e-05
114,0.0,0.0,0.0,0.0,6.127357482910156e-05
115,0.0,0.0,0.0,0.0,5.8650970458984375e-05
116,0.0,0.0,0.0,0.0,5.602836608886719e-05
117,0.0,0.0,0.0,0.0,5.555152893066406e-05
118,0.0,0.0,0.0,0.0,5.459785461425781e-05
119,4.5847616455318985e-05,0.0,0.0031098201870918274,0.0,8.034706115722656e-05
120,0.0001150092202113484,0.0,0.0056788064539432526,0.0,6.866455078125e-05
121,0.0002260941963090346,0.0,0.008451372385025024,0.0,6.67572021484375e-05
122,0.0003899365243018593,0.0,0.011465638875961304,0.0,6.461143493652344e-05
123,0.0004924548543030483,0.0,0.007740788161754608,0.0,7.271766662597656e-05
124,0.0005428844551182976,0.0,0.004762932658195496,0.0,6.341934204101562e-05
125,0.0005463018377991347,0.0,0.0002111569046974182,0.0,7.176399230957031e-05
126,0.0005170232885820525,0.0,-0.002765960991382599,0.0,6.270408630371094e-05
127,0.0005170232885820525,5.6850979972988824e-05,0.0,0.00416194461286068,7.987022399902344e-05
128,0.0005170232885820525,0.00014733152938584126,0.0,0.007728869095444679,7.987022399902344e-05
129,0.0005170232885820525,0.00031864320414909386,0.0,0.012057747691869736,7.343292236328125e-05
130,0.0005170232885820525,0.00048044009466252646,0.0,0.015283321961760521,6.318092346191406e-05
131,0.0005170232885820525,0.00048044009466252646,0.0,0.0,6.890296936035156e-05
132,0.0005170232885820525,0.00048044009466252646,0.0,0.0,6.67572021484375e-05
133,0.0005170232885820525,0.00048044009466252646,0.0,0.0,6.4849853515625e-05
134,0.0005170232885820525,0.00048044009466252646,0.0,0.0,6.794929504394531e-05
135,0.0005170232885820525,0.00044770669380467254,0.0,-0.002085043117403984,6.866455078125e-05
136,0.0005170232885820525,0.00041020283802017943,0.0,-0.003505818545818329,6.866455078125e-05
137,0.0005170232885820525,0.0003378475691930838,0.0,-0.005314141511917114,6.866455078125e-05
138,0.0006190831506975858,0.0003378475691930838,0.008771748282015324,0.0,6.771087646484375e-05
139,0.000936687077935483,0.00031903916439945945,0.020469389855861664,-0.0012121908366680145,6.961822509765625e-05
140,0.00123735854796303,0.00031903916439945945,0.028439833782613277,0.0,6.079673767089844e-05
141,0.0016857724811156771,0.00031903916439945945,0.037463584914803505,0.0,7.534027099609375e-05
142,0.0016857724811156771,0.0002445712994929572,0.0,-0.005088144913315773,7.05718994140625e-05
143,0.0016857724811156771,0.00013718550138608343,0.0,-0.009162656031548977,8.249282836914062e-05
144,0.0016857724811156771,-3.422244172202049e-05,0.0,-0.01355794258415699,7.915496826171875e-05
145,0.0016857724811156771,-0.00024231405090491265,0.0,-0.01765549648553133,7.128715515136719e-05
146,0.0016078305536408877,-0.00024231405090491265,-0.006689971312880516,0.0,6.794929504394531e-05
147,0.0013666801804985695,-0.00024231405090491265,-0.015578627586364746,0.0,6.747245788574219e-05
148,0.001137745836045534,-0.00024231405090491265,-0.021650475449860096,0.0,6.413459777832031e-05
149,0.0006854435189416197,-0.00024231405090491265,-0.030239311046898365,0.0,0.00015807151794433594
150,0.0006854435189416197,4.333788174681885e-05,0.0,0.01773875579237938,0.0001239776611328125
151,0.0006854435189416197,0.0004713832024818565,0.0,0.032325390726327896,0.00010251998901367188
152,0.0006854435189416197,0.0011660986996124834,0.0,0.04820181615650654,7.939338684082031e-05
153,0.0006854435189416197,0.0018905308509431507,0.0,0.06123392656445503,7.224082946777344e-05
154,0.0005785024597035893,0.0026452936977747754,-0.007509640417993069,0.05300113558769226,7.224082946777344e-05
155,0.0004195118373759854,0.0031841543546518025,-0.013651354238390923,0.04626799747347832,6.604194641113281e-05
156,8.574198457989013e-05,0.003758117807710626,-0.021745506674051285,0.037394408136606216,7.724761962890625e-05
157,-0.0003868397718962413,0.004092598062951147,-0.040548063814640045,0.028698794543743134,6.890296936035156e-05
158,-0.0014371435242264141,0.004360165844575548,-0.06615945138037205,0.016854302957654,8.606910705566406e-05
159,-0.0023203332152892386,0.004454996854994064,-0.08327037841081619,0.008941017091274261,7.843971252441406e-05
160,-0.0035331791174997296,0.004456211856482151,-0.10238179843872786,0.0001025637611746788,7.486343383789062e-05
161,-0.005588012466613668,0.004405470270469225,-0.13405602239072323,-0.0033103488385677338,7.128715515136719e-05
162,-0.007462754291227558,0.00433516392297939,-0.1584978559985757,-0.0059439679607748985,0.00010943412780761719
163,-0.009769318946378114,0.0042259392348467095,-0.1843521734699607,-0.00872978288680315,0.00013446807861328125
164,-0.012980434265264407,0.004046089570033828,-0.21518787369132042,-0.012052344158291817,0.000133514404296875
165,-0.01716721943174493,0.0037027930007098586,-0.23457047902047634,-0.01923366915434599,0.00010633468627929688
166,-0.020095739097824694,0.003418777102446091,-0.24742369167506695,-0.023995830677449703,9.274482727050781e-05
167,-0.02389119811823326,0.0029888649750404728,-0.26308993622660637,-0.029800230637192726,0.00010204315185546875
168,-0.026809292786957428,0.0026267936457031738,-0.27462867461144924,-0.03407537471503019,7.557868957519531e-05
169,-0.031692673973341634,0.002180645129361558,-0.3185787759721279,-0.029105540364980698,7.653236389160156e-05
170,-0.03657537757502238,0.0018437697857958124,-0.357715031132102,-0.024680051021277905,7.653236389160156e-05
